Nom de l'objet ou du geste,kg CO2e,Thématique,ID,URL
Baguette tradition,0.7767000000000001,Alimentation,baguette,https://impactco2.fr/outils/alimentation/baguette
Beurre,7.91333,Alimentation,beurre,https://impactco2.fr/outils/alimentation/beurre
Blé,1.2262635,Alimentation,ble,https://impactco2.fr/outils/alimentation/ble
Boeuf,28.009169999999997,Alimentation,boeuf,https://impactco2.fr/outils/alimentation/boeuf
Bonbons gélifiés,1.4869,Alimentation,bonbons,https://impactco2.fr/outils/alimentation/bonbons
Boulgour,0.9499000000000001,Alimentation,boulgour,https://impactco2.fr/outils/alimentation/boulgour
Brownie au chocolat,8.3569,Alimentation,brownie,https://impactco2.fr/outils/alimentation/brownie
Burger au poulet,4.3614,Alimentation,burgerpoulet,https://impactco2.fr/outils/alimentation/burgerpoulet
Burger végétarien,2.7075,Alimentation,burgervegetarien,https://impactco2.fr/outils/alimentation/burgervegetarien
Cabillaud (cru),12.0864877,Alimentation,cabillaud,https://impactco2.fr/outils/alimentation/cabillaud
Canard,8.0609,Alimentation,canard,https://impactco2.fr/outils/alimentation/canard
Chausson aux pommes,2.0441000000000003,Alimentation,chaussonauxpommes,https://impactco2.fr/outils/alimentation/chaussonauxpommes
Cheeseburger,18.833399999999997,Alimentation,cheeseburger,https://impactco2.fr/outils/alimentation/cheeseburger
Cookie au pépites de chocolat,6.272900000000001,Alimentation,cookie,https://impactco2.fr/outils/alimentation/cookie
Crevettes,20.345228,Alimentation,crevettes,https://impactco2.fr/outils/alimentation/crevettes
Croissant au beurre,2.9431000000000003,Alimentation,croissant,https://impactco2.fr/outils/alimentation/croissant
Dorade royale,11.1914877,Alimentation,dorade,https://impactco2.fr/outils/alimentation/dorade
Fêta (brebis),6.30563,Alimentation,feta,https://impactco2.fr/outils/alimentation/feta
Frites (friteuse),1.4569999999999999,Alimentation,frites,https://impactco2.fr/outils/alimentation/frites
Fromage à pâte dure,6.27838,Alimentation,fromagedure,https://impactco2.fr/outils/alimentation/fromagedure
Fromage à pâte molle,5.144405000000001,Alimentation,fromagemolle,https://impactco2.fr/outils/alimentation/fromagemolle
Fromage blanc 0%,1.8096299999999998,Alimentation,fromageblanc,https://impactco2.fr/outils/alimentation/fromageblanc
Fromage bleu,6.164963333333335,Alimentation,fromagebleu,https://impactco2.fr/outils/alimentation/fromagebleu
Haricots rouges,0.858543,Alimentation,haricotsrouges,https://impactco2.fr/outils/alimentation/haricotsrouges
Huitres,5.328231000000001,Alimentation,huitres,https://impactco2.fr/outils/alimentation/huitres
Kebab,12.806530000000002,Alimentation,kebab,https://impactco2.fr/outils/alimentation/kebab
Lapin,5.782900000000001,Alimentation,lapin,https://impactco2.fr/outils/alimentation/lapin
"Lentilles (blondes, vertes, corail)",0.5815429999999999,Alimentation,lentilles,https://impactco2.fr/outils/alimentation/lentilles
Lieu jaune ou colin (cru),12.0864877,Alimentation,lieu,https://impactco2.fr/outils/alimentation/lieu
Madeleine,2.2434,Alimentation,madeleine,https://impactco2.fr/outils/alimentation/madeleine
Matière grasse végétale,2.58463,Alimentation,matieregrasse,https://impactco2.fr/outils/alimentation/matieregrasse
Moules,5.328231000000001,Alimentation,moules,https://impactco2.fr/outils/alimentation/moules
Mozarella,4.714629999999999,Alimentation,mozarella,https://impactco2.fr/outils/alimentation/mozarella
Oeufs,1.8780103000000001,Alimentation,oeuf,https://impactco2.fr/outils/alimentation/oeuf
Pain au chocolat ou chocolatine,5.7291,Alimentation,painauchocolat,https://impactco2.fr/outils/alimentation/painauchocolat
Pain aux raisins,2.5641,Alimentation,painauxraisins,https://impactco2.fr/outils/alimentation/painauxraisins
Pain de mie,1.5591000000000002,Alimentation,paindemie,https://impactco2.fr/outils/alimentation/paindemie
Pâte à tartiner à la noisette,9.1169,Alimentation,pateatartiner,https://impactco2.fr/outils/alimentation/pateatartiner
Pâtes (sèches),1.9795,Alimentation,pates,https://impactco2.fr/outils/alimentation/pates
Pizza quatre fromages,3.5994,Alimentation,pizza,https://impactco2.fr/outils/alimentation/pizza
Pois chiches,0.8985430000000001,Alimentation,poischiches,https://impactco2.fr/outils/alimentation/poischiches
Pomme de terre nouvelle,0.7062605000000001,Alimentation,pommedeterre,https://impactco2.fr/outils/alimentation/pommedeterre
Porc,6.671304949999999,Alimentation,porc,https://impactco2.fr/outils/alimentation/porc
Poulet,4.56043,Alimentation,poulet,https://impactco2.fr/outils/alimentation/poulet
Repas avec du boeuf,7.26,Alimentation,repasavecduboeuf,https://impactco2.fr/outils/alimentation/repasavecduboeuf
Repas avec du poisson blanc,1.98,Alimentation,repasavecdupoissonblanc,https://impactco2.fr/outils/alimentation/repasavecdupoissonblanc
